Time,BPM,RR_ms,HRV_RMSSD
1768127310,125.6009658,477.7033329,16.87067589
1768127310,124.7763198,480.8604717,16.24471641
1768127311,127.097361,472.0790386,16.29128944
1768127311,121.6062811,493.3955669,16.53005833
1768127312,117.1309739,512.2470856,16.58406283
1768127312,108.2962309,554.035902,17.01600267
1768127313,99.14061512,605.2010059,18.5104355
1768127313,92.83853044,646.2833881,19.34604895
1768127314,98.15197945,611.2968922,19.56932314
1768127315,106.0388284,565.8304691,20.57859341
1768127315,109.3120667,548.8872528,20.5601103
1768127316,115.8317937,517.9924965,21.01877201
1768127316,116.2001375,516.3505077,20.96107413
1768127317,118.9836908,504.270792,20.98538328
1768127317,112.5616978,533.0410004,21.35924132
1768127318,109.0733296,550.088644,21.37208672
1768127318,109.1306563,549.7996807,21.26901801
1768127319,115.3913917,519.9694633,21.31747411
1768127319,112.665003,532.5522423,21.12496292
1768127320,109.1396013,549.7546196,20.93876996
1768127320,112.6533024,532.6075554,20.44417428
1768127321,108.402217,553.494215,20.38134541
1768127322,106.4468515,563.6615753,20.43302993
1768127322,106.1768473,565.0949478,20.28492205
1768127323,108.9379622,550.7721901,20.38421136
1768127323,119.6285907,501.5523434,21.51314189
1768127324,115.9696153,517.3768997,21.29573185
1768127324,112.550824,533.0924988,21.29469544
1768127325,113.631772,528.0213356,21.19459296
1768127325,117.3694253,511.2063885,21.21851827
1768127326,112.5159513,533.2577229,21.43923935
1768127327,59.30682222,1011.687994,71.63028776
1768127327,119.047237,504.0016174,101.8975707
1768127328,110.9222754,540.9193039,102.0288843
1768127328,113.7595194,527.4283886,102.0259087
1768127329,109.9053225,545.9244251,102.0587215
1768127329,118.470112,506.456852,102.2096673
1768127330,118.2634522,507.3418617,102.1994235
1768127330,121.6025792,493.4105873,102.2168548
1768127331,112.8459659,531.6982269,102.3544933
1768127331,114.4546719,524.2249966,102.3397251
1768127332,111.9368602,536.0164642,102.3535219
1768127333,112.6424613,532.6588154,102.2327359
1768127333,118.9198752,504.5413971,102.304608
1768127334,119.2563651,503.1177998,102.2923925
1768127334,117.0315647,512.6821995,102.2982952
1768127335,115.3544196,520.1361179,102.2921873
1768127335,114.9075063,522.1590996,102.2921827
1768127336,115.7806345,518.2213783,102.2012714
1768127336,117.8286159,509.2141628,102.2044107
1768127337,120.6480696,497.3142147,102.217553
1768127337,113.5804355,528.2599926,102.3054157
1768127338,111.2611915,539.2715931,102.2721826
1768127338,109.3044227,548.9256382,102.2460206
1768127339,109.3130164,548.8824844,102.071592
1768127339,106.2956921,564.4631386,101.8338757
1768127340,109.3763946,548.5644341,101.6899831
1768127340,112.1426681,535.0327492,101.5854754
1768127341,105.7912519,567.1546459,101.4814201
1768127342,90.14864636,665.5673981,102.422041
1768127342,82.36760573,728.4417152,102.7203598
1768127343,99.58747245,602.4854183,104.2841914
1768127344,103.1755801,581.5329552,104.3128656
1768127344,109.0586293,550.1627922,104.3281601
1768127345,109.2474825,549.2117405,104.2998197
1768127345,108.0569409,555.262804,104.3033937
1768127346,101.6509776,590.255022,104.336124
1768127346,106.224712,564.8403168,104.3837986
1768127347,109.0597163,550.1573086,104.3759455
1768127348,111.3177887,538.9974117,104.3593755
1768127348,116.7476691,513.9288902,104.3781647
1768127349,119.2764873,503.0329227,104.379665
1768127349,115.6268433,518.9106464,104.4041066
1768127350,102.8381165,583.4412575,104.7903363
1768127350,103.0981865,581.9694996,104.5543787
1768127351,112.3010041,534.2783928,104.7517291
1768127351,109.2422659,549.2379665,104.7494699
1768127352,106.2685362,564.6073818,104.7699738
1768127352,106.2935371,564.4745827,104.7424342
1768127353,112.4768271,533.4432125,104.7888628
1768127353,115.7367589,518.4178352,79.46053065
1768127354,115.679515,518.6743736,32.46330095
1768127355,112.5233971,533.2224369,32.09938651
1768127355,116.7553604,513.8950348,32.16021873
1768127356,116.0609649,516.9696808,32.05449882
1768127356,114.9074013,522.1595764,31.56344422
1768127357,121.7804675,492.6898479,31.84271973
1768127357,117.6775931,509.8676682,31.87506808
1768127358,113.6517858,527.9283524,31.50808877
1768127358,112.1576618,534.9612236,31.50601995
1768127359,114.3020446,524.9249935,31.49360886
1768127359,122.2786969,490.6823635,31.86764928
1768127360,122.4617882,489.9487495,31.6136613
1768127360,123.5030633,485.8179092,31.61851455
1768127361,123.3814782,486.2966537,31.58905265
1768127361,114.4782573,524.116993,32.03007556
1768127362,113.0207598,530.8759212,32.04332269
1768127362,117.9623302,508.6369514,32.19551815
1768127363,117.1957214,511.9640827,32.17330555
1768127363,116.1822198,516.4301395,32.13469573
1768127364,111.3818868,538.6872292,31.98757147
1768127364,109.5680682,547.6047993,31.97425604
1768127365,108.0149675,555.4785728,31.96429613
1768127365,112.4153797,533.7347984,32.11487194
1768127366,116.0729559,516.916275,32.12761256
1768127366,119.5139435,502.0334721,32.11767901
1768127367,116.0090149,517.2011852,32.13259296
1768127367,112.6046598,532.8376293,31.88159059
1768127368,109.4129156,548.3813286,28.70038467
1768127369,102.2140466,587.0034695,27.81145775
1768127369,112.1905121,534.8045826,22.47906826
1768127370,112.7860859,531.9805145,22.2825486
1768127370,114.6970279,523.1173038,21.86393732
1768127371,108.4601023,553.1988144,22.28184435
1768127371,105.2269906,570.1959133,22.39708198
1768127372,105.4087119,569.2129135,21.8325472
1768127372,111.4054557,538.5732651,21.96900719
1768127373,108.3096077,553.9674759,21.97894055
1768127374,102.5686941,584.9738121,22.36408708
1768127374,103.7735983,578.1817436,22.09680399
1768127375,113.316691,529.4895172,23.11346431
1768127375,111.3757251,538.7170315,23.03963944
1768127376,105.0545335,571.1319447,21.61676934
1768127376,111.4542521,538.3374691,22.11761819
1768127377,111.4166519,538.5191441,21.0421608
1768127377,118.2370038,507.455349,21.3985621
1768127378,114.7489604,522.8805542,21.39938134
1768127378,114.9046731,522.1719742,21.39961235
1768127379,111.4980029,538.1262302,21.0591099
1768127380,111.4381135,538.415432,20.94947325
1768127380,111.2417649,539.3657684,20.94988109
1768127381,108.2734468,554.1524887,20.95329078
1768127381,105.1351568,570.6939697,20.90457007
1768127382,94.77575055,633.0733299,22.7204765
1768127382,102.3518976,586.2128735,23.67455792
1768127383,108.2966504,554.0337563,23.74644146
1768127384,108.1015937,555.0334454,23.61973513
1768127384,105.2287066,570.186615,23.57797863
1768127385,111.4661987,538.2797718,23.99350171
1768127385,114.8661772,522.3469734,24.05853671
1768127386,111.5566216,537.8434658,23.65976082
1768127386,111.244912,539.3505096,23.66050822
1768127387,102.4763903,585.5007172,24.55478698
1768127387,105.416174,569.1726208,24.66523545
1768127388,111.5805118,537.7283096,24.48184867
1768127388,111.6246094,537.5158787,24.46281927
1768127389,108.3568023,553.7261963,24.36593869
1768127390,108.2431294,554.3076992,24.36144402
1768127390,111.4892105,538.1686687,24.46198234
1768127391,108.1950103,554.554224,24.36715287
1768127391,118.4623047,506.4902306,25.2840085
1768127392,118.3752106,506.8628788,25.25903183
1768127392,118.5361256,506.1748028,25.06749969
1768127393,122.2747163,490.6983376,25.0498506
1768127393,118.3793868,506.8449974,25.06582051
1768127394,122.3054391,490.5750751,25.07992261
1768127394,102.5742126,584.9423409,28.38575593
1768127395,84.30790053,711.6770744,33.59479185
1768127396,97.02202075,618.4163094,35.71651207
1768127396,99.70189061,601.7940044,35.01001889
1768127397,111.4566708,538.3257866,36.16278644
1768127397,111.4511918,538.3522511,36.14061349
1768127398,115.0552855,521.4884281,35.96498991
1768127398,111.6581885,537.3542309,35.95444022
1768127399,118.4658736,506.4749718,36.22377423
1768127399,114.8054439,522.6233006,36.03227284
1768127400,118.3008113,507.1816444,36.03268716
1768127400,118.4003839,506.7551136,35.75944621
1768127401,122.4575573,489.9656773,35.82665598
1768127401,118.4681601,506.4651966,35.22383698
1768127402,114.8054439,522.6233006,35.27476788
1768127402,114.550949,523.784399,34.96989222
1768127403,115.0488685,521.5175152,34.65616412
1768127403,111.4227688,538.4895802,34.74086398
1768127404,114.55705,523.7565041,34.52049318
1768127404,118.4704467,506.4554214,34.53863513
1768127405,122.1381657,491.2469387,34.6067542
1768127405,114.7280876,522.9756832,34.82783292
1768127406,113.8159078,527.1670818,34.83295517
1768127407,105.8800483,566.6790009,35.28707115
1768127407,99.67464315,601.9585133,35.58252524
1768127408,102.4285079,585.7744217,35.57917106
1768127408,111.4879757,538.1746292,35.10990003
1768127409,108.2481113,554.2821884,34.54252038
1768127409,108.0772204,555.1586151,34.23549076
1768127410,115.0804874,521.3742256,34.57371838
1768127411,114.8480395,522.4294662,34.50621154
